sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
"הצעת חוק רשות השידור (תיקון מס` 15), התשס""ד-2003 ",102,אישור החוק,31/12/2003,12:30,0,1
"החלטה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2003, שעניינה תיקון חוק המים ",907,הצעת ועדה,31/12/2003,12:43,0,1
"הצעת חוק חסינות חברי-הכנסת,  זכויותיהם וחובותיהם (תיקון - ועדה ציבורית לנטילת חסינות), התשס""ד-2003 ",100,להעביר את הצעת החוק לוועדה,31/12/2003,14:09,1,0
"הצעת ועדת כלכלה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2004",907,הצעת ועדה,31/12/2003,12:44,1,0
"החלטה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2003, שעניינה ביטול רשות הדואר והעברת פעילותה לחברה ממשלתית ",907,הצעת ועדה,31/12/2003,12:45,1,0
"החלטה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2003, שעניינה ביטול חוק רשות לפיתוח  הנגב וחוק הרשות לפיתוח הגליל ",907,הצעת ועדה,31/12/2003,12:45,1,0
"הצעת חוק חסינות חברי-הכנסת, זכויותיהם וחובותיהם (תיקון - סדרי דיון לעניין חסינות בפני דין פלילי), התשס""ד-2003 ",100,להעביר את הצעת החוק לוועדה,31/12/2003,14:07,1,0
"הצעת חוק הגנה על עובדים בשעת חירום (הוראת שעה), התשס""ו-2006",100,להעביר את הצעת החוק לוועדה,31/07/2006,15:05,1,0
"הצעת חוק המכר (דירות) (הבטחת השקעות של רוכשי דירות)(תיקון מס` 4), התשס""ח-2008",104,קריאה שנייה,31/03/2008,18:17,1,0
"הצעת חוק לתיקון פקודת בתי הסוהר (ביטול הפרטות), התשס""ו-2006",100,להעביר את הצעת החוק לוועדה,31/01/2007,11:57,0,1
"הצעת חוק הכנסת (תיקון - כינוס הכנסת בעת מצב מיוחד בעורף או מצב מלחמה), התשס""ז-2006",100,להעביר את הצעת החוק לוועדה,31/01/2007,12:35,1,0
"הצעת חוק לתיקון פקודת בתי הסוהר (ביטול הקמתו של בית סוהר בניהול פרטי), התשס""ו-2006",100,להעביר את הצעת החוק לוועדה,31/01/2007,11:56,0,1
"הצעת חוק עבודת הנוער (תיקון – גיל עבודה בחופשת לימודים), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,30/12/2015,16:36,1,0
"הצעת חוק פיצויים לבעלי זכות במקרקעין מועברים, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/2015,15:25,1,0
"הצעת חוק איסור שימוש ברכב ממשלתי לשר וסגן שר ביום המנוחה השבועי ובחג, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/2015,13:25,0,1
