Query,Response
"הצעת חוק רשות השידור (תיקון מס` 15), התשס""ד-2003 ",נגד
"החלטה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2003, שעניינה תיקון חוק המים ",בעד
"הצעת חוק חסינות חברי-הכנסת,  זכויותיהם וחובותיהם (תיקון - ועדה ציבורית לנטילת חסינות), התשס""ד-2003 ",נגד
"הצעת ועדת כלכלה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2004",בעד
"החלטה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2003, שעניינה ביטול רשות הדואר והעברת פעילותה לחברה ממשלתית ",נגד
"החלטה בדבר חלוקת הצעת חוק המדיניות הכלכלית לשנת הכספים 2004 (תיקוני חקיקה), התשס""ד-2003, שעניינה ביטול חוק רשות לפיתוח  הנגב וחוק הרשות לפיתוח הגליל ",נגד
"הצעת חוק חסינות חברי-הכנסת, זכויותיהם וחובותיהם (תיקון - סדרי דיון לעניין חסינות בפני דין פלילי), התשס""ד-2003 ",בעד
"הצעת חוק הגנה על עובדים בשעת חירום (הוראת שעה), התשס""ו-2006",בעד
"הצעת חוק המכר (דירות) (הבטחת השקעות של רוכשי דירות)(תיקון מס` 4), התשס""ח-2008",בעד
"הצעת חוק לתיקון פקודת בתי הסוהר (ביטול הפרטות), התשס""ו-2006",נגד
"הצעת חוק הכנסת (תיקון - כינוס הכנסת בעת מצב מיוחד בעורף או מצב מלחמה), התשס""ז-2006",נגד
"הצעת חוק לתיקון פקודת בתי הסוהר (ביטול הקמתו של בית סוהר בניהול פרטי), התשס""ו-2006",נגד
"הצעת חוק עבודת הנוער (תיקון – גיל עבודה בחופשת לימודים), התשע""ה-2015",נגד
"הצעת חוק פיצויים לבעלי זכות במקרקעין מועברים, התשע""ה–2015",נגד
"הצעת חוק איסור שימוש ברכב ממשלתי לשר וסגן שר ביום המנוחה השבועי ובחג, התשע""ה–2015",נגד
"הצעת חוק הפיקוח על מעונות יום לפעוטות, התשע""ה–2015",בעד
"הצעת חוק לתיקון פקודת בתי הסוהר (מרחב מחיה לאסיר), התש""ע-2009",נגד
"הצעת חוק זכויות החולה (תיקון - נגישות מוסד רפואי לדוברי שפות זרות), התשע""ו-2016",בעד
"הצעת חוק קידום תעשיות עתירות ידע בצפון ובדרום (סיוע בשכר עובדים), התשע""ו–2015",בעד
"הצעת חוק חינוך ממלכתי (תיקון - מטרות חינוך), התשע""א-2011",בעד
"הצעת חוק המועצה להשכלה גבוהה (תיקון - פטור משכר לימוד לסטודנטים מתחת לקו העוני), התשס""ט-2009",נגד
"הצעת חוק לתיקון פקודת מס הכנסה (תיקון - הכרה בהוצאות לימודים ליחיד בעל עסק), התשע""א-2011",בעד
"הצעת חוק זכויות התורמים למדינה, התשע""ג-2013 ",בעד
"הצעת חוק הטבות לנפגעי פוליו, התשס""ו-2005",בעד
"הצעת חוק המרכז להנצחת מורשת גוש קטיף וצפון השומרון, התשס""ח-2008",בעד
"הצעת חוק הפחתת השימוש בשקיות פלסטיק, התשס""ח-2008",נגד
"הצעת חוק ביטוח בריאות ממלכתי (תיקון מס` 36)(תוספת שנתית לסל שירותי הבריאות), התשס""ז 2006 ",נגד
"הצעת חוק לתיקון פקודת מסי העירייה ומסי הממשלה (פטורין) (מס` 29) (פטור מארנונה לבית כנסת בתוך בית מדרש), התשע""ז-2017",בעד
"הצעת חוק יסודות התקציב (תיקון - שקיפות והרחבת הדיווח על מבנה השכר בשרות המדינה), התשס""ח-2007",בעד
"הצעת חוק לתיקון פקודת מס הכנסה (ניכוי ריבית על משכנתא), התשס""ז-2006",בעד
"הצעת חוק לתיקון פקודת מס הכנסה (ניכוי ריבית על משכנתא וסיוע ברכישת דירה), התשס""ו-2006",בעד
"הצעת חוק דמי מחלה (היעדרות בשל מחלת ילד) (תיקון - הגדלת מספר ימי מחלה בשל מחלת ילד), התשס""ז - 2007",נגד
"הצעת חוק יסודות התקציב (תיקון - תמיכה במוסדות ציבור), התשס""ז-2006",בעד
"הצעת חוק התקציב לשנות הכספים 2011-2012, התשע""א-2010",בעד
"הצעת חוק איסור מימון טרור, התשס""ה-2004",בעד
"הצעת חוק לתיקון דיני הראיות (הגנת ילדים) (תיקון מס 11), התשס""ה-2004",בעד
"הצעת חוק שירות בטחון (הגבלות קריאה על שירות מילואים של קצין - הוראת שעה)(תיקון מס` 3), התשס""ד-2003 ",בעד
"הצעת חוק המפלגות (מימון בחירות מקדימות לכנסת השבע עשרה) (הוראות שעה), התשס""ו - 2005",נגד
"הצעת חוק שירות הכבאות והחילוץ, התשס""ג-2003",נגד
"הצעת חוק איסור ניתוק שירותי חשמל ומים לזכאים (תיקוני חקיקה), התשע""ד-2014",בעד
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשע""ד-2013",נגד
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",בעד
"הצעת חוק הרשויות המקומיות (בחירת ראש הרשות וסגניו וכהונתם) (תיקון מס` 27), התשס""ח-2008",נגד
"הצעת חוק צער בעלי חיים (הגנה על בעלי חיים)(תיקון מס` 8)(סמכויות פיקוח), התשס""ח-2008",בעד
