sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
"הצעת חוק לתיקון פקודת העיריות (הליך פסילה לכהונה של חבר מועצה), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,31/10/18,13:08,0,1
"הצעת חוק מרשם האוכלוסין (תיקון - רישום הורה נוסף), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,31/10/18,14:20,0,1
"הצעת חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון - הגדרת הורים מיועדים וביצוע הסכם מחוץ לישראל), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,31/10/18,13:40,0,1
"הצעת חוק שיפוט בעניני התרת נישואין (מקרים מיוחדים וסמכות בין-לאומית) (תיקון - גירושים אזרחיים לבני זוג בני אותו מגדר), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,31/10/18,15:04,0,1
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשע""ח-2017",202,להעביר את הנושא לוועדה,31/10/18,12:25,1,0
"הצעת חוק התרבות והאמנות (תיקון - תקציב התרבות), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,31/10/18,12:49,0,1
"הצעת חוק הטבות לניצולי שואה (תיקון מס` 8), התשע""ו-2016",104,קריאה שנייה,31/10/16,19:39,1,0
"הצעת חוק הטבות לניצולי שואה (תיקון מס` 8), התשע""ו-2016",102,אישור החוק,31/10/16,19:39,1,0
"הצעת חוק הרשות לפיתוח ירושלים (תיקון מס` 6), התשע""ב-2011",100,להעביר את הצעת החוק לוועדה,31/10/11,21:20,1,0
"הצעת חוק התכנון והבנייה (תיקון מס` 102), התשע""ג-2013",100,להעביר את הצעת החוק לוועדה,31/07/13,14:43,1,0
"הצעת חוק לתיקון פקודת העיריות (מס` 128) (עיריות איתנות), התשע""ב-2012",111,להחיל דין רציפות,31/07/13,13:02,1,0
"הצעת חוק תכנון משק החלב (תיקון), התשע""ג-2013",102,אישור החוק,31/07/13,11:22,1,0
"הצעת חוק הביטוח הלאומי (תיקון מס` 200), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,31/01/18,16:34,1,0
"הצעת חוק העברת הכנסות מהימורים לתמיכה במרכזי גמילה מהימורים, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,14:47,0,1
"הצעת חוק הפיקוח על מעונות יום לפעוטות, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,14:35,0,1
"הצעת חוק תובענות ייצוגיות (תיקון – הסדרי פשרה והסתלקות), התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,15:50,1,0
"הצעת חוק העונשין (תיקון – בעילה אסורה בהסכמה ומעשה סדום במסגרת הדרכה או ייעוץ של כהן דת), התשע""ו–2015 ",100,להעביר את הצעת החוק לוועדה,30/12/15,16:06,1,0
"הצעת חוק הגנת הצרכן (תיקון - העברה למענה אנושי בתפריט הראשון בעת התקשרות לעוסק), התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,16:03,1,0
"הצעת חוק עבודת הנוער (תיקון – גיל עבודה בחופשת לימודים), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,30/12/15,16:36,1,0
"הצעת חוק פיצויים לבעלי זכות במקרקעין מועברים, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,15:25,1,0
"הצעת חוק לתיקון פקודת בתי הסוהר (מרחב מחיה לאסיר), התש""ע-2009",100,להעביר את הצעת החוק לוועדה,30/12/09,12:45,0,1
"הצעת חוק זכויות החולה (תיקון - נגישות מוסד רפואי לדוברי שפות זרות), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,30/11/16,13:06,0,1
"הצעת חוק קידום תעשיות עתירות ידע בצפון ובדרום (סיוע בשכר עובדים), התשע""ו–2015",100,להעביר את הצעת החוק לוועדה,30/11/16,12:48,0,1
"הצעת חוק שיקום, קידום ושילוב אנשים עם אוטיזם בקהילה, התשע""ג-2013",100,להעביר את הצעת החוק לוועדה,30/10/13,12:15,1,0
