Query,Response
"הצעת חוק לתיקון פקודת העיריות (הליך פסילה לכהונה של חבר מועצה), התשע""ז-2017",בעד
"הצעת חוק מרשם האוכלוסין (תיקון - רישום הורה נוסף), התשע""ז-2017",בעד
"הצעת חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון - הגדרת הורים מיועדים וביצוע הסכם מחוץ לישראל), התשע""ז-2017",בעד
"הצעת חוק שיפוט בעניני התרת נישואין (מקרים מיוחדים וסמכות בין-לאומית) (תיקון - גירושים אזרחיים לבני זוג בני אותו מגדר), התשע""ח-2018",בעד
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשע""ח-2017",בעד
"הצעת חוק התרבות והאמנות (תיקון - תקציב התרבות), התשע""ה-2015",בעד
"הצעת חוק הטבות לניצולי שואה (תיקון מס` 8), התשע""ו-2016",בעד
"הצעת חוק הרשות לפיתוח ירושלים (תיקון מס` 6), התשע""ב-2011",בעד
"הצעת חוק התכנון והבנייה (תיקון מס` 102), התשע""ג-2013",בעד
"הצעת חוק לתיקון פקודת העיריות (מס` 128) (עיריות איתנות), התשע""ב-2012",בעד
"הצעת חוק תכנון משק החלב (תיקון), התשע""ג-2013",בעד
"הצעת חוק הביטוח הלאומי (תיקון מס` 200), התשע""ח-2018",בעד
"הצעת חוק העברת הכנסות מהימורים לתמיכה במרכזי גמילה מהימורים, התשע""ה–2015",בעד
"הצעת חוק הפיקוח על מעונות יום לפעוטות, התשע""ה–2015",בעד
"הצעת חוק תובענות ייצוגיות (תיקון – הסדרי פשרה והסתלקות), התשע""ה–2015",בעד
"הצעת חוק העונשין (תיקון – בעילה אסורה בהסכמה ומעשה סדום במסגרת הדרכה או ייעוץ של כהן דת), התשע""ו–2015 ",בעד
"הצעת חוק הגנת הצרכן (תיקון - העברה למענה אנושי בתפריט הראשון בעת התקשרות לעוסק), התשע""ה–2015",בעד
"הצעת חוק עבודת הנוער (תיקון – גיל עבודה בחופשת לימודים), התשע""ה-2015",בעד
"הצעת חוק פיצויים לבעלי זכות במקרקעין מועברים, התשע""ה–2015",נגד
"הצעת חוק לתיקון פקודת בתי הסוהר (מרחב מחיה לאסיר), התש""ע-2009",נגד
"הצעת חוק זכויות החולה (תיקון - נגישות מוסד רפואי לדוברי שפות זרות), התשע""ו-2016",בעד
"הצעת חוק קידום תעשיות עתירות ידע בצפון ובדרום (סיוע בשכר עובדים), התשע""ו–2015",בעד
"הצעת חוק שיקום, קידום ושילוב אנשים עם אוטיזם בקהילה, התשע""ג-2013",בעד
"הצעת חוק העונשין (תיקון - החמרת העונש בגין כניסה לשטח חקלאי), התשע""ג-2013",בעד
"הצעת חוק הנצחת זכרם של קורבנות הטבח בכפר קאסם, התשע""ג-2013",בעד
"הצעת חוק זכויות התורמים למדינה, התשע""ג-2013 ",נגד
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",בעד
"הצעת חוק הרשויות המקומיות (ביטול איחוד המועצות המקומיות באקה אל גרבייה וג`ת), התשס""ט-2009",בעד
"הצעת חוק הכנסת (תיקון מס` 30) (אישור על ידי ועדת משנה חסויה), התש""ע-2010",נגד
הצעת חוק-יסוד: הממשלה (תיקון - כללי אתיקה לחברי הממשלה),בעד
הצעת חוק-יסוד: משק המדינה (תיקון - חוק ההסדרים),בעד
"הצעת חוק הקאדים (תיקון – תקופת כהונתו של נשיא בית הדין השרעי לערעורים), התשע""ב-2012",בעד
"הצעת חוק זכויות הסטודנט (תיקון-בחינות גמר), התשע""ב-2012",בעד
"הצעת חוק התכנון והבניה (תיקון - תוכניות לישובים הבדואים בנגב), התשע""א-2011",בעד
"הצעת חוק מיסוי רווחי נפט, התשע""א-2011",בעד
"הצעת חוק למניעת הסתננות (עבירות ושיפוט) (תיקון מס` 3 והוראת שעה), התשע""א-2011 ",נגד
"הצעת חוק להרחבת הייצוג ההולם לנשים (תיקוני חקיקה), התשע""א-2011",נגד
" הצעת חוק החשמל (תיקון מס` 4), התשע""א-2011",בעד
