sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
"הצעת חוק הסכמים לנשיאת עוברים (אישור הסכם ומעמד היילוד) (תיקון - הגדרת הורים מיועדים וביצוע הסכם מחוץ לישראל), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,31/10/18,13:40,1,0
"הצעת חוק שיפוט בעניני התרת נישואין (מקרים מיוחדים וסמכות בין-לאומית) (תיקון - גירושים אזרחיים לבני זוג בני אותו מגדר), התשע""ח-2018",100,להעביר את הצעת החוק לוועדה,31/10/18,15:04,1,0
"הצעת חוק מרשם האוכלוסין (תיקון - רישום הורה נוסף), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,31/10/18,14:20,1,0
"הצעת חוק התרבות והאמנות (תיקון - תקציב התרבות), התשע""ה-2015",100,להעביר את הצעת החוק לוועדה,31/10/18,12:49,1,0
"הצעת חוק הפיקוח על מעונות יום לפעוטות, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,14:35,1,0
"הצעת חוק איסור שימוש ברכב ממשלתי לשר וסגן שר ביום המנוחה השבועי ובחג, התשע""ה–2015",100,להעביר את הצעת החוק לוועדה,30/12/15,13:25,1,0
"הצעת חוק קידום תעשיות עתירות ידע בצפון ובדרום (סיוע בשכר עובדים), התשע""ו–2015",100,להעביר את הצעת החוק לוועדה,30/11/16,12:48,1,0
"הצעת חוק לתיקון פקודת מסי העירייה ומסי הממשלה (פטורין) (ערים קולטות עלייה), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,30/11/16,11:46,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:25,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:38,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:40,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:30,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",907,הצעת ועדה,30/07/13,00:23,1,0
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:41,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:42,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:42,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:28,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:24,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:20,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",907,הצעת ועדה,30/07/13,00:22,1,0
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",907,הצעת ועדה,30/07/13,00:22,1,0
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:21,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:20,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:06,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:19,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:01,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:39,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:38,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,00:43,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",907,הצעת ועדה,30/07/13,00:39,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:09,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:44,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:11,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:55,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:53,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:46,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:37,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:32,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:25,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,02:54,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:39,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:38,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:36,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:22,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:19,0,1
"הצעת חוק התקציב לשנות הכספים 2013 ו-2014, התשע""ג-2013 ",121,הסתייגות,30/07/13,01:17,0,1
"הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון - תגמולים וקצבה), התשע""ז-2017",100,להעביר את הצעת החוק לוועדה,29/11/17,12:01,1,0
"הצעת חוק שעות עבודה ומנוחה (תיקון - התחשבות במסורת ישראל), התשע""ח-2017",100,להעביר את הצעת החוק לוועדה,29/11/17,12:24,0,1
"הצעת חוק מגבלות על חזרתו של עבריין מין לסביבת נפגע העבירה (תיקון - החלה על בגיר שהיה קטין מעל גיל 16 בעת ביצוע העבירה), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,29/11/17,11:50,1,0
"הצעת חוק מגבלות על חזרתו של עבריין מין לסביבת נפגע העבירה (תיקון - בגיר שהורשע בעבירת מין בהיותו קטין), התשע""ו-2016",100,להעביר את הצעת החוק לוועדה,29/11/17,11:50,1,0
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",121,הסתייגות,29/07/13,17:51,0,1
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",121,הסתייגות,29/07/13,17:50,0,1
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",121,הסתייגות,29/07/13,17:49,0,1
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",121,הסתייגות,29/07/13,17:49,0,1
"הצעת חוק לשינוי סדרי עדיפויות (תיקוני חקיקה להשגת יעדי התקציב לשנים 2013 ו-2014), התשע""ג-2013",907,הצעת ועדה,29/07/13,17:46,1,0
