sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
המלצת הוועדה הזמנית לענייני החוץ והביטחון בדבר הארכת תוקף הכרזה על מצב חירום ,907,הצעת ועדה,23/03/09,19:30,1,0
בחירת יושב-ראש הכנסת,999,הצבעה,30/03/09,15:02,1,0
הרכב הוועדה המסדרת ,903,הצעת הוועדה המסדרת,30/03/09,15:19,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 31), התשס""ח - 2008 ",907,הצעת ועדה,31/03/09,15:46,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (הוראת שעה)(מס` 2), התשס""ט - 2008 ",907,הצעת ועדה,31/03/09,15:46,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 29) התשס""ח-2008 ",907,הצעת ועדה,31/03/09,15:47,1,0
"צו תעריף המכס והפטורים  ומס קניה על טובין (תיקון מס` 2) התשס""ט-2008 ",907,הצעת ועדה,31/03/09,15:48,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 11), התשס""ט-2009 ",907,הצעת ועדה,31/03/09,15:48,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 18), התשס""ט - 2009 ",907,הצעת ועדה,31/03/09,15:49,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 19), התשס""ט - 2009 ",907,הצעת ועדה,31/03/09,15:49,1,0
"צו היטלי סחר (היטל יבוא הנובע מהסכם העדפה)(הוראת שעה), התשס""ט-2009",907,הצעת ועדה,31/03/09,15:50,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 14), התשס""ט-2009.",907,הצעת ועדה,31/03/09,15:51,1,0
"צו תעריף המכס והפטורים ומס קניה על טובין (תיקון מס` 30), התשס""ח-2008.",907,הצעת ועדה,31/03/09,15:52,1,0
"הצהרות חסרות תקדים של שר החוץ, חבר-הכנסת אביגדור ליברמן ",201,"לכלול את הנושא בסדר היום של המליאה
",06/04/09,19:20,0,1
נאומים בני דקה,999,הצבעה,05/05/09,15:59,1,0
"הצעת חוק יסוד: תקציב המדינה לשנים 2009 ו-2010 (הוראות מיוחדות) (הוראת שעה), התשס""ט-2009 , התשס""ט-2009 ",121,הסתייגות,07/04/09,06:42,0,1
"הצעת חוק יסוד: תקציב המדינה לשנים 2009 ו-2010 (הוראות מיוחדות) (הוראת שעה), התשס""ט-2009 , התשס""ט-2009 ",121,הסתייגות,07/04/09,06:43,0,1
"הצעת חוק יסוד: תקציב המדינה לשנים 2009 ו-2010 (הוראות מיוחדות) (הוראת שעה), התשס""ט-2009 , התשס""ט-2009 ",104,קריאה שנייה,07/04/09,06:44,1,0
