sess_item_dscr,vote_item_id,vote_item_dscr,vote_date,vote_time,voted_for,voted_against
הצעת חוק-יסוד: הכנסת (תיקון מס` 51),121,הסתייגות,06/07/2021,21:45,1,0
"הצעת אי אמון מטעם סיעת הליכוד בהנהגת בנימין נתניהו לראשות הממשלה בנושא: ""החוק הנורבגי המושחת והמופקר של ממשלת השנאה וההונאה""",300,הצעת אי-אמון בממשלה,05/07/2021,18:17,1,0
"הצעת אי אמון מטעם סיעות התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל ויהדות התורה והשבת אגודת ישראל ? דגל התורה  בנושא: ""משלת העקירה"" ",300,הצעת אי-אמון בממשלה,05/07/2021,18:18,1,0
"הצעת חוק הכנסת (תיקון מס` 49), התשפ""א-2021",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,29/06/2021,05:05,0,1
"חוק לתיקון פקודת התעבורה (מס` 120) (תיקון מס` 2), התשפ""א-2021",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,29/06/2021,07:04,0,1
"הצעת חוק הדיינים (תיקון מס` 29), התשפ""א-2021",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,29/06/2021,19:21,0,1
"הצעת אי אמון מטעם סיעת הליכוד בהנהגת בנימין נתניהו לראשות הממשלה) בנושא: ""אמון הציבור הירוד במערכת המשפט""",300,הצעת אי-אמון בממשלה,28/06/2021,18:05,1,0
"הצעת אי אמון מטעם סיעות יהדות התורה והשבת אגודת ישראל ? דגל התורה והתאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל בנושא: ""ממשלת השנאה""",300,הצעת אי-אמון בממשלה,28/06/2021,18:05,1,0
"הצעת הוועדה המסדרת להרכב ועדת החוקה, חוק ומשפט - הצבעה",903,הצעת הוועדה המסדרת,28/06/2021,20:21,0,1
"חוק הביטוח הלאומי (תיקון מס` 225 והוראת שעה), התשפ""א-2021",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,28/06/2021,22:49,0,1
"הצעת חוק העונשין (תיקון מס` 133 ? הוראת שעה) (תיקון) (הארכת תוקף), התשפ""א-2021 ",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,22/06/2021,00:41,0,1
"חוק סמכויות מיוחדות להתמודדות עם נגיף הקורונה החדש (הוראת שעה) (תיקון מס` 8), התשפ""א-2021 ",101,להעביר את הצעת החוק לוועדה שתקבע ועדת הכנסת,22/06/2021,02:36,0,1
"הצעת אי אמון מטעם סיעות התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל ויהדות התורה והשבת אגודת ישראל ? דגל התורה בנושא: ""כוונת הממשלה למחוק את זהותה היהודית של המדינה""",300,הצעת אי-אמון בממשלה,21/06/2021,18:03,1,0
המלצת הוועדה המסדרת בדבר בחירת סגנים זמניים ליושב ראש הכנסת ,903,הצעת הוועדה המסדרת,26/04/2021,19:13,1,0
המלצת הוועדה המסדרת להקמת ועדה מיוחדת לענייני החברה הערבית ? הצבעה ,903,הצעת הוועדה המסדרת,26/04/2021,19:14,1,0
"הצעת חוק התפזרות הכנסת העשרים ושלוש, התש""ף-2020",206,העברת הנושא לוועדה שתקבע ועדת הכנסת,02/12/2020,15:13,0,1
"הצעת חוק התפזרות הכנסת העשרים ושלוש, התשפ""א-2020",100,להעביר את הצעת החוק לוועדה,02/12/2020,15:16,0,1
