"﻿MkID","LastName","FirstName","FullName","BirthDate","YearDate","BirthDateHeb","DeathDate","DeathDateHeb","YearDeathDate","ImmigrationDate","BirthCountry","CityName","FamilyStatus","ChildrenNumber","imgPath","FK_MKStatus","FirstLetter","LU_Gender"
1,אדלשטיין,יולי יואל,אדלשטיין יולי יואל,1958-08-05,1958.0,"1958-08-05T00:00:00",,"",,"1987-01-01T00:00:00",אוקראינה,נווה דניאל,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/1/1_1_2_3.png?v=20201010,1,א,1
2,אדרי,רפאל,אדרי רפאל,1937-09-10,1937.0,"",,"",,"1956-01-01T00:00:00",מרוקו,הרצלייה,אלמן,3.0,https://fs.knesset.gov.il/globaldocs/MK/2/1_2_3_9.jpeg?v=20201010,0,א,1
3,אולמרט,אהוד,אולמרט אהוד,1945-09-30,1945.0,"1945-09-30T00:00:00",,"",,"",ישראל,ירושלים,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/3/1_3_3_11.jpeg?v=20201010,0,א,1
4,אור,אורי,אור אורי,1939-04-22,1939.0,"",,"",,"",ישראל,חופית,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/4/1_4_3_13.jpeg?v=20201010,0,א,1
5,אורון,חיים,אורון חיים,1940-03-26,1940.0,"1940-03-26T00:00:00",,"",,"",ישראל,להב,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/5/1_5_3_15.jpeg?v=20201010,0,א,1
6,אושעיה,אפי,אושעיה אפי,1956-06-02,1956.0,"",,"",,"",ישראל,נתניה,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/6/1_6_3_17.jpeg?v=20201010,0,א,1
7,אזולאי,דוד,אזולאי דוד,1954-01-01,1954.0,"",2018-10-30,"2018-10-31T00:00:00",2018.0,"1963-01-01T00:00:00",מרוקו,עכו,נשוי,4.0,https://fs.knesset.gov.il/globaldocs/MK/7/1_7_2_20.png?v=20201010,0,א,1
8,איציק,דליה,איציק דליה,1952-10-20,1952.0,"1952-10-20T00:00:00",,"",,"",ישראל,תל אביב,נשואה,3.0,https://fs.knesset.gov.il/globaldocs/MK/8/1_8_2_26.png?v=20201010,0,א,2
9,איתן,מיכאל,איתן מיכאל,1944-03-06,1944.0,"1944-03-06T00:00:00",,"",,"",ישראל,רמת גן,גרוש,3.0,https://fs.knesset.gov.il/globaldocs/MK/9/1_9_2_29.png?v=20201010,0,א,1
10,איתן,רפאל,איתן רפאל,1929-01-11,1929.0,"",2004-11-23,"",2004.0,"",ישראל,תל עדשים,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/10/1_10_3_32.jpeg?v=20201010,0,א,1
11,אלול,רפאל,אלול רפאל,1957-08-23,1957.0,"",,"",,"1961-01-01T00:00:00",מרוקו,מזכרת בתיה,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/11/1_11_3_34.jpeg?v=20201010,0,א,1
12,אלון,בנימין,אלון בנימין,1954-11-10,1954.0,"1954-11-11T00:00:00",2017-05-05,"2017-05-05T00:00:00",2017.0,"",ישראל,ירושלים,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/12/1_12_2_2706.png?v=20201010,0,א,1
13,אלסאנע,טלב,אלסאנע טלב,1960-12-25,1960.0,"",,"",,"",ישראל,לקיה,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/13/1_13_2_38.png?v=20201010,0,א,1
14,בגין,זאב בנימין ,בגין זאב בנימין ,1943-03-01,1943.0,"1943-03-01T00:00:00",,"",,"",ישראל,ירושלים,נשוי,6.0,https://fs.knesset.gov.il/globaldocs/MK/14/1_14_2_42.png?v=20201010,0,ב,1
15,בדש,פיני,בדש פיני,1952-08-29,1952.0,"",,"",,"",ישראל,עומר,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/15/1_15_3_48.jpeg?v=20201010,0,ב,1
16,בוים,זאב,בוים זאב,1943-04-30,1943.0,"1943-04-30T00:00:00",2011-03-18,"",2011.0,"",ישראל,הרצלייה,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/16/1_16_3_50.jpeg?v=20201010,0,ב,1
17,ביבי,יגאל,ביבי יגאל,1942-01-21,1942.0,"",,"",,"",ישראל,נווה דניאל,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/17/1_17_3_52.jpeg?v=20201010,0,ב,1
18,ביילין,יוסי,ביילין יוסי,1948-06-12,1948.0,"1948-06-11T00:00:00",,"",,"",ישראל,תל אביב,נשוי,2.0,https://fs.knesset.gov.il/globaldocs/MK/18/1_18_3_54.jpeg?v=20201010,0,ב,1
19,בלומנטל,נעמי,בלומנטל נעמי,1943-11-22,1943.0,"",,"",,"",ישראל,רמת אפעל,נשואה,3.0,https://fs.knesset.gov.il/globaldocs/MK/19/1_19_3_56.jpeg?v=20201010,0,ב,2
20,בן-אליעזר,בנימין (פואד),בן-אליעזר בנימין (פואד),1936-02-12,1936.0,"",2016-08-28,"",2016.0,"1950-01-01T00:00:00",עיראק,תל אביב,נשוי,5.0,https://fs.knesset.gov.il/globaldocs/MK/20/1_20_2_58.png?v=20201010,0,ב,1
21,בן-אלישר,אליהו,בן-אלישר אליהו,1932-08-02,1932.0,"",2000-08-12,"",2000.0,"1942-01-01T00:00:00",פולין,ירושלים,נשוי,1.0,https://fs.knesset.gov.il/globaldocs/MK/21/1_21_3_62.jpeg?v=20201010,0,ב,1
22,בן-מנחם,אלי,בן-מנחם אלי,1947-11-24,1947.0,"",,"",,"1949-01-01T00:00:00",הודו,קריית אונו,נשוי,3.0,https://fs.knesset.gov.il/globaldocs/MK/22/1_22_3_64.jpeg?v=20201010,0,ב,1
