"PersonID","MkID"
532,1
2128,2
1064,3
2132,4
12956,4
1065,5
432,6
483,7
433,8
462,9
2138,10
2141,11
405,12
549,13
2178,14
2183,15
464,16
522,17
2192,18
465,19
435,20
437,22
439,23
2208,24
484,25
552,26
861,27
2226,28
558,29
2232,30
2238,32
860,33
486,34
526,35
550,36
487,37
2276,38
441,39
2291,41
466,42
527,43
2300,44
467,45
412,46
2307,47
2315,48
2317,49
488,50
417,51
2331,52
2339,53
567,54
506,56
554,57
493,58
442,59
2371,60
524,61
444,62
494,63
445,64
580,65
507,66
446,67
447,68
468,69
3260,69
470,70
2420,71
536,72
765,73
2424,73
2427,73
537,74
2432,75
2435,76
471,77
448,78
2444,79
509,80
2449,81
544,82
551,83
2465,84
453,85
472,86
2468,87
546,88
565,89
965,90
533,91
1068,92
2505,93
454,94
2511,95
474,96
2526,97
519,98
2532,99
455,100
2538,101
2541,101
2545,102
563,103
456,104
557,105
2566,107
2574,108
559,109
862,110
2594,111
531,112
510,113
476,114
458,115
2620,116
459,117
2633,118
478,119
2635,120
430,121
479,122
461,123
2650,124
482,125
512,126
535,127
2672,128
584,130
2135,131
2143,132
2157,133
2164,134
2175,135
2186,136
434,137
2236,138
2239,139
2247,140
2246,141
2254,142
2275,143
2323,145
2324,146
2357,149
2366,150
2421,152
2445,153
2447,154
545,155
2467,156
2482,157
2487,158
2489,159
2507,160
2524,161
2522,162
2558,163
2559,163
2560,164
2563,165
2577,166
2583,167
2595,168
1029,169
2622,170
2623,171
2634,172
2642,173
2649,174
2652,175
2658,176
2662,176
2660,177
3263,177
2119,178
2117,180
2370,181
2367,182
2368,183
2369,184
2372,185
2373,186
2375,188
2376,189
2377,190
2378,191
2379,192
2380,193
521,194
513,196
540,197
485,198
503,200
504,201
523,202
505,203
1067,204
460,205
490,206
492,207
560,208
421,209
495,210
555,211
556,212
469,213
427,214
2439,215
528,216
517,217
564,219
449,220
518,221
498,222
473,223
2498,224
499,225
500,226
520,227
501,228
553,229
475,230
539,231
534,232
2118,233
2120,234
2121,235
2122,236
2123,237
2124,238
2125,239
2126,240
2127,241
2129,242
2130,243
2131,245
2133,246
2134,247
2136,248
2137,249
2139,252
2140,253
2145,254
2146,255
2147,256
2148,257
2149,258
2196,258
2151,260
2152,261
2155,263
2156,264
2158,265
2159,266
2160,267
2161,268
2162,269
2163,270
2165,271
2166,272
2167,273
2168,274
2169,275
2170,276
2171,277
463,278
2172,279
2174,280
2176,281
2177,282
2180,283
2181,284
2182,285
2184,286
2185,287
2187,288
2189,290
2190,291
2193,293
2194,294
2195,295
2197,296
2199,297
2200,298
2201,299
2202,300
2203,301
2204,302
2206,303
2209,304
2210,305
2212,307
2213,308
2215,310
2216,311
2217,312
2218,313
2219,314
2220,315
2221,316
2222,317
2223,318
2224,319
2225,320
2227,321
2228,322
2233,324
2234,325
2235,326
2237,327
2241,329
2242,330
2243,331
2244,332
2245,333
2248,334
2249,335
2250,336
2251,337
2252,338
2253,338
2255,340
2256,341
2257,342
2258,343
2259,344
2260,346
2261,347
2262,348
2263,349
2264,350
2265,351
2266,352
2267,353
2268,354
2269,355
2270,356
2271,357
2272,358
2273,359
2274,360
2278,361
2279,362
2280,363
2281,364
2282,365
2283,366
2284,367
2285,368
2287,369
2288,370
2289,371
2290,372
2292,373
2293,374
2294,375
2295,376
2296,377
2396,377
2297,378
2298,379
2299,380
2301,381
2302,382
2303,383
2304,384
2305,385
2306,386
2308,387
2309,388
2310,389
2311,390
2312,391
2313,392
2314,393
2318,394
2319,395
2321,396
2322,397
2325,398
2326,399
2327,400
2329,402
2333,405
2335,406
2336,407
2337,408
2338,409
2340,410
2341,411
2342,412
2343,413
2344,414
2347,415
2348,416
2349,417
2350,418
2351,419
2352,420
2355,423
2356,424
2358,425
2359,426
2360,427
2361,428
2363,430
2365,432
2381,433
2382,434
2383,435
2384,436
2385,437
