"BillUnionID","MainBillID","UnionBillID","LastUpdatedDate"
1,31252,37664,2015-03-20 12:03:33
2,37668,18516,2015-03-20 12:03:33
3,37666,37665,2015-03-20 12:03:33
4,37660,37659,2015-03-20 12:03:33
5,37658,17670,2015-03-20 12:03:33
6,37658,19438,2015-03-20 12:03:33
7,31717,31716,2015-03-20 12:03:33
8,17834,19677,2015-03-20 12:03:33
9,77290,77291,2015-03-20 12:03:33
10,77287,25317,2015-03-20 12:03:33
11,18437,31724,2015-03-20 12:03:33
12,74963,74962,2015-03-20 12:03:33
13,75301,75300,2015-03-20 12:03:33
14,75198,75199,2015-03-20 12:03:33
15,75194,75193,2015-03-20 12:03:33
16,86881,75191,2015-03-20 12:03:33
17,30393,86436,2015-03-20 12:03:33
18,30393,86438,2015-03-20 12:03:33
19,30393,86437,2015-03-20 12:03:33
20,76098,20605,2015-03-20 12:03:33
21,75078,75037,2015-03-20 12:03:33
22,75078,75079,2015-03-20 12:03:33
23,30643,31042,2015-03-20 12:03:33
24,24306,77772,2015-03-20 12:03:33
25,77667,25663,2015-03-20 12:03:33
26,78362,75217,2015-03-20 12:03:33
27,78362,75244,2015-03-20 12:03:33
28,17655,75250,2015-03-20 12:03:33
29,75219,75221,2015-03-20 12:03:33
30,75219,75222,2015-03-20 12:03:33
31,75219,75223,2015-03-20 12:03:33
32,75219,75224,2015-03-20 12:03:33
33,75219,17789,2015-03-20 12:03:33
34,75219,18506,2015-03-20 12:03:33
35,75245,17771,2015-03-20 12:03:33
36,75245,75246,2015-03-20 12:03:33
37,75245,75247,2015-03-20 12:03:33
38,21666,75248,2015-03-20 12:03:33
39,77518,17834,2015-03-20 12:03:33
40,18905,75190,2015-03-20 12:03:33
41,89821,75192,2015-03-20 12:03:33
42,75188,75189,2015-03-20 12:03:33
43,75341,29605,2015-03-20 12:03:33
44,30534,81390,2015-03-20 12:03:33
45,37656,85430,2015-03-20 12:03:33
46,85368,17764,2015-03-20 12:03:33
47,85368,75907,2015-03-20 12:03:33
48,85368,75909,2015-03-20 12:03:33
49,100249,97075,2015-03-20 12:03:33
50,100249,81414,2015-03-20 12:03:33
51,78945,79545,2015-03-20 12:03:33
52,26858,75083,2015-03-20 12:03:33
53,26858,26156,2015-03-20 12:03:33
54,26858,83779,2015-03-20 12:03:33
55,26858,30497,2015-03-20 12:03:33
56,26858,25252,2015-03-20 12:03:33
57,17516,19801,2015-03-20 12:03:33
58,77518,75218,2015-03-20 12:03:33
59,27015,21541,2015-03-20 12:03:33
60,87934,106518,2015-03-20 12:03:33
61,86725,86802,2015-03-20 12:03:33
62,86725,86514,2015-03-20 12:03:33
63,132065,132187,2015-03-20 12:03:33
64,132065,132353,2015-03-20 12:03:33
65,132065,134725,2015-03-20 12:03:33
66,132065,134564,2015-03-20 12:03:33
67,132065,130343,2015-03-20 12:03:33
68,75027,132394,2015-03-20 12:03:33
69,130397,130536,2015-03-20 12:03:33
70,130397,130908,2015-03-20 12:03:33
71,130397,139065,2015-03-20 12:03:33
72,130397,142320,2015-03-20 12:03:33
73,135664,143152,2015-03-20 12:03:33
74,140027,133176,2015-03-20 12:03:33
75,130325,181784,2015-03-20 12:03:33
76,242230,183846,2015-03-20 12:03:33
77,135137,144166,2015-03-20 12:03:33
78,139134,130480,2015-03-20 12:03:33
79,286171,254156,2015-03-20 12:03:33
80,241021,241346,2015-03-20 12:03:33
81,324291,325536,2015-03-20 12:03:33
82,321196,324986,2015-03-20 12:03:33
83,317905,318581,2015-03-20 12:03:33
