"CommitteeID","Name","CategoryID","CategoryDesc","KnessetNum","CommitteeTypeID","CommitteeTypeDesc","Email","StartDate","FinishDate","AdditionalTypeID","AdditionalTypeDesc","ParentCommitteeID","CommitteeParentName","IsCurrent","LastUpdatedDate"
1,ועדת הכנסת,1,ועדת הכנסת,15,70,ועדת הכנסת,vadatk@knesset.gov.il,1999-06-07 00:00:00,,991,קבועה,,,1,2017-04-24 16:47:06
2,ועדת הכספים,2,ועדת הכספים,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
3,ועדת החוץ והביטחון,4,ועדת החוץ והביטחון,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
4,ועדת הכלכלה,3,ועדת הכלכלה,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
5,ועדת הפנים ואיכות הסביבה,5,ועדת הפנים והגנת הסביבה,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
6,"ועדת החוקה, חוק ומשפט",6,"ועדת החוקה, חוק ומשפט",15,71,ועדה ראשית,vhuka@knesset.gov.il,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
7,"ועדת העלייה, הקליטה והתפוצות",27,"ועדת העלייה, הקליטה והתפוצות",15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
8,ועדת החינוך והתרבות,8,"ועדת החינוך, התרבות והספורט",15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
9,"ועדת העבודה, הרווחה והבריאות",28,"ועדת העבודה, הרווחה והבריאות",15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
10,הוועדה לענייני ביקורת המדינה,10,הוועדה לענייני ביקורת המדינה,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
11,הוועדה לקידום מעמד האישה,11,הוועדה לקידום מעמד האישה ולשוויון מגדרי,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
12,הוועדה המיוחדת לענייני מחקר ופיתוח מדעי וטכנולוגי,13,ועדת  המדע  והטכנולוגיה,15,72,ועדה מיוחדת,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
13,ועדת האתיקה,14,ועדת האתיקה,15,71,ועדה ראשית,,1999-06-07 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
14,הוועדה המיוחדת למאבק בנגע הסמים,12,הוועדה המיוחדת להתמודדות עם סמים ואלכוהול,15,72,ועדה מיוחדת,,1999-06-07 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
15,הוועדה המיוחדת לבחינת בעיית העובדים הזרים,15,ועדה מיוחדת לבעיית העובדים הזרים,15,72,ועדה מיוחדת,,1999-06-07 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
16,הוועדה המיוחדת לקידום מעמד הילד,25,הוועדה המיוחדת לזכויות הילד,15,72,ועדה מיוחדת,,1999-06-07 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
20,ועדת הכנסת,1,ועדת הכנסת,16,70,ועדת הכנסת,noabiran@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
21,ועדת הכספים,2,ועדת הכספים,16,71,ועדה ראשית,liatk@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
22,ועדת החוץ והביטחון,4,ועדת החוץ והביטחון,16,71,ועדה ראשית,dafnas@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
23,ועדת הכלכלה,3,ועדת הכלכלה,16,71,ועדה ראשית,vdept2@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
24,ועדת הפנים ואיכות הסביבה,5,ועדת הפנים והגנת הסביבה,16,71,ועדה ראשית,sazulay@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
25,"ועדת החוקה, חוק ומשפט",6,"ועדת החוקה, חוק ומשפט",16,71,ועדה ראשית,vhukamichald@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
26,"ועדת העלייה, הקליטה והתפוצות",27,"ועדת העלייה, הקליטה והתפוצות",16,71,ועדה ראשית,tzgiladi@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
27,"ועדת החינוך, התרבות והספורט",8,"ועדת החינוך, התרבות והספורט",16,71,ועדה ראשית,emorali@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
28,"ועדת העבודה, הרווחה והבריאות",28,"ועדת העבודה, הרווחה והבריאות",16,71,ועדה ראשית,vrevacha@knesset.gov.il,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
29,הוועדה לענייני ביקורת המדינה,10,הוועדה לענייני ביקורת המדינה,16,71,ועדה ראשית,,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
30,הוועדה לקידום מעמד האישה,11,הוועדה לקידום מעמד האישה ולשוויון מגדרי,16,71,ועדה ראשית,ariela@knesset.gov.il,2004-08-11 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
31,ועדת המדע והטכנולוגיה,13,ועדת  המדע  והטכנולוגיה,16,71,ועדה ראשית,sciencecom@knesset.gov.il,2004-10-10 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
32,ועדת האתיקה,14,ועדת האתיקה,16,71,ועדה ראשית,,2003-02-17 00:00:00,,991,קבועה,,,1,2015-03-20 12:02:57
33,הוועדה המיוחדת למאבק בנגע הסמים,,,16,72,ועדה מיוחדת,ynagani@knesset.gov.il,2003-02-17 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
34,הוועדה המיוחדת לבחינת בעיית העובדים הזרים,,,16,72,ועדה מיוחדת,ynagani@knesset.gov.il,2003-02-17 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
35,הוועדה המיוחדת לקידום מעמד הילד,25,הוועדה המיוחדת לזכויות הילד,16,72,ועדה מיוחדת,,2003-02-17 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
36,הוועדה המיוחדת לפניות הציבור,,,16,72,ועדה מיוחדת,vz@knesset.gov.il,2003-02-17 00:00:00,,992,מיוחדת,,,1,2020-05-21 15:39:38
