"DocumentAgendaID","AgendaID","GroupTypeID","GroupTypeDesc","ApplicationID","ApplicationDesc","FilePath","LastUpdatedDate"
35256,131070,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35235.doc,2010-06-02 15:40:37
35264,131581,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35243.doc,2010-06-02 15:40:38
35265,131581,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35244.doc,2010-06-02 15:40:38
35267,131647,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35246.doc,2010-06-02 15:40:39
35268,131647,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35247.doc,2010-06-02 15:40:39
35272,131649,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35251.doc,2010-06-02 15:40:39
35274,131649,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35253.doc,2010-06-02 15:40:40
35283,131662,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35262.doc,2010-06-02 15:40:41
35284,131662,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35263.doc,2010-06-02 15:40:41
35288,131665,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35267.doc,2010-06-02 15:40:42
35289,131665,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35268.doc,2010-06-02 15:40:42
35299,131681,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35278.doc,2010-06-02 15:40:43
35303,131688,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35282.doc,2010-06-02 15:40:44
35305,131688,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35284.doc,2010-06-02 15:40:44
35309,131696,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35288.doc,2010-06-02 15:40:45
35310,131696,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35289.doc,2010-06-02 15:40:45
35314,131706,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35293.doc,2010-06-02 15:40:46
35316,131706,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35295.doc,2010-06-02 15:40:46
35332,131732,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35311.doc,2010-06-02 15:40:48
35334,131732,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35313.doc,2010-06-02 15:40:48
35357,131766,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35336.doc,2010-06-02 15:40:51
35359,131766,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35338.doc,2010-06-02 15:40:51
35360,131768,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35339.doc,2010-06-02 15:40:52
35366,131772,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35345.doc,2010-06-02 15:40:53
35368,131772,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35347.doc,2010-06-02 15:40:53
35369,131775,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35348.doc,2010-06-02 15:40:53
35373,131779,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35352.doc,2010-06-02 15:40:54
35374,131779,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35353.doc,2010-06-02 15:40:54
35385,131790,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35364.doc,2010-06-02 15:40:55
35386,131790,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35365.doc,2010-06-02 15:40:56
35388,131794,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35367.doc,2010-06-02 15:40:56
35394,131803,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35373.doc,2010-06-02 15:40:57
35396,131803,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35375.doc,2010-06-02 15:40:57
35397,131839,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35376.doc,2010-06-02 15:40:57
35407,132337,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35386.doc,2010-06-02 15:40:58
35408,132337,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35387.doc,2010-06-02 15:40:59
35410,132337,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35389.doc,2010-06-02 15:40:59
35414,132405,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35393.doc,2010-06-02 15:40:59
35415,132405,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35394.doc,2010-06-02 15:41:00
35417,132413,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35396.doc,2010-06-02 15:41:00
35418,132413,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35397.doc,2010-06-02 15:41:00
35426,132447,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35405.doc,2010-06-02 15:41:01
35428,132447,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35407.doc,2010-06-02 15:41:01
35429,132460,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35408.doc,2010-06-02 15:41:02
35431,132460,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35410.doc,2010-06-02 15:41:02
35432,132484,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35411.doc,2010-06-02 15:41:02
35433,132484,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35412.doc,2010-06-02 15:41:02
35443,132634,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35422.doc,2010-06-02 15:41:04
35447,132636,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35426.doc,2010-06-02 15:41:04
35453,132657,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35432.doc,2010-06-02 15:41:05
35455,132660,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35434.doc,2010-06-02 15:41:05
35463,132673,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35442.doc,2010-06-02 15:41:06
35470,132681,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35449.doc,2010-06-02 15:41:07
35472,132689,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35451.doc,2010-06-02 15:41:08
35474,132692,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35453.doc,2010-06-02 15:41:08
35475,132692,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35454.doc,2010-06-02 15:41:08
35477,132697,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35456.doc,2010-06-02 15:41:08
35479,132710,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35458.doc,2010-06-02 15:41:09
35483,132727,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35462.doc,2010-06-02 15:41:09
35484,132727,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35463.doc,2010-06-02 15:41:09
35488,132784,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35467.doc,2010-06-02 15:41:10
35489,132784,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35468.doc,2010-06-02 15:41:10
35491,132786,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35470.doc,2010-06-02 15:41:10
35495,132789,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35474.doc,2010-06-02 15:41:11
35496,132789,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35475.doc,2010-06-02 15:41:11
35498,132790,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35477.doc,2010-06-02 15:41:11
35507,132795,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35486.doc,2010-06-02 15:41:13
35509,132795,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35488.doc,2010-06-02 15:41:13
35510,132796,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35489.doc,2010-06-02 15:41:13
35511,132796,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35490.doc,2010-06-02 15:41:13
35515,132798,22,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_ptk_35494.doc,2010-06-02 15:41:14
35516,132798,16,נוסח הצעה לסדר היום,1,DOC,https://fs.knesset.gov.il\17\agendasuggestion\17_as_35495.doc,2010-06-02 15:41:14
