"DocumentLawID","LawID","GroupTypeID","GroupTypeDesc","ApplicationID","ApplicationDesc","FilePath","LastUpdatedDate"
311000,2001482,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/2/law/2_lsr_311000.PDF,2015-06-29 15:31:18
311001,2001957,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/3/law/3_lsr_311001.PDF,2015-06-29 15:31:18
311002,2002228,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/3/law/3_lsr_311002.PDF,2015-06-29 15:31:18
311003,2002247,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/3/law/3_lsr_311003.PDF,2015-06-29 15:31:18
311004,2002308,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/3/law/3_lsr_311004.PDF,2015-06-29 15:31:18
311005,2002205,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/3/law/3_lsr_311005.PDF,2015-06-29 15:31:18
311006,2002224,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/4/law/4_lsr_311006.PDF,2015-06-29 15:31:18
311007,2002231,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/6/law/6_lsr_311007.PDF,2015-06-29 15:31:18
311008,2001493,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/6/law/6_lsr_311008.pdf,2015-06-29 15:31:18
311009,2002229,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/6/law/6_lsr_311009.PDF,2015-06-29 15:31:18
311010,2002310,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311010.PDF,2015-06-29 15:31:19
311011,2002265,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311011.PDF,2015-06-29 15:31:19
311012,2002248,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311012.PDF,2015-06-29 15:31:19
311013,2002303,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311013.PDF,2015-06-29 15:31:19
311014,2002226,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311014.PDF,2015-06-29 15:31:19
311015,2002266,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311015.PDF,2015-06-29 15:31:19
311016,2002302,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/7/law/7_lsr_311016.PDF,2015-06-29 15:31:19
311017,2002252,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/8/law/8_lsr_311017.PDF,2015-06-29 15:31:19
311018,2002251,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/9/law/9_lsr_311018.PDF,2015-06-29 15:31:21
311019,2001592,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/9/law/9_lsr_311019.pdf,2015-06-29 15:31:21
311020,2002215,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/10/law/10_lsr_311020.PDF,2015-06-29 15:31:21
311021,2002218,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/11/law/11_lsr_311021.PDF,2015-06-29 15:31:21
311022,2002312,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/11/law/11_lsr_311022.PDF,2015-06-29 15:31:21
311023,2002309,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/11/law/11_lsr_311023.PDF,2015-06-29 15:31:21
311024,2002165,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/12/law/12_lsr_311024.PDF,2015-06-29 15:31:21
311025,2002325,9,חוק - פרסום ברשומות,3,PPT,https://fs.knesset.gov.il/13/law/13_lsr_311025.PDF,2015-06-29 15:31:21
312437,2002291,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312437.TIF,2015-07-21 12:16:32
312438,2002100,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312438.TIF,2015-07-21 12:16:35
312439,2002101,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312439.TIF,2015-07-21 12:16:39
312440,2002102,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312440.TIF,2015-07-21 12:16:42
312441,2001932,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312441.TIF,2015-07-21 12:16:44
312442,2001933,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312442.TIF,2015-07-21 12:16:47
312443,2001889,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312443.TIF,2015-07-21 12:16:51
312444,2001946,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312444.TIF,2015-07-21 12:16:54
312445,2001431,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312445.TIF,2015-07-21 12:16:57
312446,2002105,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312446.TIF,2015-07-21 12:17:00
312447,2002108,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312447.TIF,2015-07-21 12:17:03
312448,2002304,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312448.TIF,2015-07-21 12:17:07
312449,2002103,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312449.TIF,2015-07-21 12:17:10
312450,2002106,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312450.TIF,2015-07-21 12:17:13
312451,2002110,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312451.TIF,2015-07-21 12:17:16
312452,2001793,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312452.TIF,2015-07-21 12:17:19
312453,2001786,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312453.TIF,2015-07-21 12:17:23
312454,2002054,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312454.TIF,2015-07-21 12:17:26
312455,2002112,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312455.TIF,2015-07-21 12:17:29
312456,2002076,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312456.TIF,2015-07-21 12:17:32
312457,2001832,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312457.TIF,2015-07-21 12:17:35
312458,2001949,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312458.TIF,2015-07-21 12:17:38
312459,2001890,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312459.TIF,2015-07-21 12:17:42
312460,2002114,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312460.TIF,2015-07-21 12:17:45
312461,2001882,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312461.TIF,2015-07-21 12:17:49
312462,2002306,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312462.TIF,2015-07-21 12:17:53
312463,2002115,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312463.TIF,2015-07-21 12:17:57
312464,2001956,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312464.TIF,2015-07-21 12:18:00
312465,2001721,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312465.TIF,2015-07-21 12:18:04
312466,2001775,9,חוק - פרסום ברשומות,8,PIC,https://fs.knesset.gov.il/0/law/0_lsr_312466.TIF,2015-07-21 12:18:07
