"GovMinistryID","Name","IsActive","LastUpdatedDate"
1,בלי תיק,1,2019-10-31 15:22:22
2,המשרד לקליטת עלייה,0,2020-01-27 15:50:29
3,המשרד לענייני דתות,0,2020-01-27 15:45:01
4,משרד האוצר,1,2019-12-11 17:11:23
6,משרד הביטחון,1,2020-01-27 15:39:11
7,משרד הבינוי והשיכון,1,2020-01-27 15:38:33
8,משרד החוץ,1,2020-01-27 15:40:49
9,משרד החינוך,1,2020-01-27 15:40:34
10,משרד החקלאות ופיתוח הכפר,1,2020-01-27 15:41:34
11,"משרד המדע, הטכנולוגיה, התרבות והספורט",0,2020-01-27 15:39:25
13,משרד המשפטים,1,2020-01-27 15:48:51
14,"משרד העבודה, הרווחה והשירותים חברתיים",1,2020-01-27 15:49:51
15,משרד הפנים,1,2020-01-27 15:52:49
16,"משרד התחבורה, התשתיות הלאומיות והבטיחות בדרכים",0,2020-01-27 15:46:47
17,משרד התיירות,1,2020-01-27 15:49:17
18,משרד התקשורת,1,2020-01-27 15:49:04
19,משרד הבריאות,1,2020-01-27 15:38:40
21,המשרד להגנת הסביבה,1,2020-01-27 15:45:43
22,המשרד לביטחון הפנים,1,2020-05-25 15:05:27
23,משרד התשתיות הלאומיות,0,2020-01-27 15:40:42
24,"משרד התעשיה, המסחר והתעסוקה",0,2020-01-27 15:41:42
25,המשרד לשיתוף פעולה אזורי,1,2020-01-27 15:51:30
28,משרד ראש הממשלה,1,2019-10-31 15:24:21
50,משרד האנרגיה והתשתיות,0,2020-01-27 15:38:24
51,משרד הכלכלה והתעשייה,1,2020-01-27 15:41:03
52,משרד המדע והאמנויות,0,2020-05-14 16:28:04
53,המשרד לירושלים ומורשת,1,2020-01-27 15:45:28
54,המשרד לתפוצות וחברה - לא בשימוש,0,2020-01-27 15:52:11
55,המשרד לתיאום עניינים חברתיים - לא בשימוש,0,2020-01-27 15:44:51
56,המקשר בין הממשלה לבין הכנסת,1,2019-10-31 15:16:44
57,משרד העבודה והרווחה,0,2020-01-27 15:47:58
59,משרד התעשייה והמסחר,0,2020-08-24 13:21:23
60,המשנה לראש הממשלה,1,2019-10-31 15:26:20
61,משרד הרווחה,0,2020-01-27 15:40:21
80,משרד לא ידוע 80 - לא בשימוש,0,2019-12-31 14:45:21
81,משרד לא ידוע 81 - לא בשימוש,0,2019-12-31 14:46:25
82,משרד לא ידוע 82 - לא בשימוש,0,2019-12-31 14:47:25
120,משרד החקלאות,0,2020-01-27 15:40:55
123,משרד המשטרה,0,2021-01-28 12:24:13
135,משרד הסעד,0,2020-01-27 15:39:46
137,משרד ההסברה,1,2020-01-27 15:39:36
138,המשרד לנפגעי מלחמה,0,2020-05-19 14:36:52
139,משרד הפיתוח,0,2020-01-27 15:40:07
140,משרד העבודה,0,2020-01-27 15:41:21
141,משרד הדתות,0,2020-01-27 15:38:47
142,משרד השיכון,0,2020-01-27 15:44:25
143,משרד הדואר,0,2020-01-27 15:38:58
145,משרד העבודה והביטוח העממי,0,2020-01-27 15:40:00
149,המשרד לפיתוח הנגב והגליל,0,2020-01-27 15:50:22
150,משרד המדע,0,2020-01-27 15:42:06
157,משרד המדע והפיתוח,0,2020-01-27 15:43:25
