"IsraelLawNameID","IsraelLawID","LawID","LawTypeID","Name","LastUpdatedDate"
1,2000001,148560,2,"חוק רשות הפיתוח (העברת נכסים), התש""י-1950",2016-05-09 15:40:21
2,2000002,147159,2,"חוק הבזק, התשמ""ב-1982",2016-05-09 15:40:21
3,2000002,171095,2,"חוק התקשורת (בזק ושידורים), התשמ""ב-1982",2016-05-09 15:40:21
4,2000003,2002228,6002,"חוק הבחירות לכנסת, התשי""ט-1959 [נוסח משולב]",2016-05-09 15:40:21
5,2000004,147688,2,"חוק המילוות (מוסדות כספיים) (הוראות שונות), התש""ך-1960",2016-05-09 15:40:21
6,2000005,2001427,6002,"דבר המלך על הטיס במושבות (הטלת חוקים), 1937",2016-05-09 15:40:21
7,2000006,2002300,6002,"פקודת מניעת זיהום מי-ים בשמן [נוסח חדש], התש""ם-1980",2016-05-09 15:40:21
8,2000007,2001428,6002,פקודת הנישואין והגירושין (רישום),2016-05-09 15:40:21
9,2000008,147963,2,"חוק תשלומי הפרשים על מטבע חוץ, התשט""ו-1955",2016-05-09 15:40:21
11,2000010,2001430,6002,"פקודת הפיקוח על פרי ההדר, 1940",2016-05-09 15:40:21
12,2000011,2001433,6002,פקודת הפרוצדורה הפלילית (עדות),2016-05-09 15:40:21
13,2000012,148732,2,"חוק שכר שווה לעובדת ולעובד, התשכ""ד-1964",2016-05-09 15:40:21
14,2000013,159646,2,"חוק שכר שווה לעובדת ולעובד, התשנ""ו-1996",2016-05-09 15:40:21
15,2000014,358390,2,"חוק שלילת תשלומים מחבר הכנסת ומחבר הכנסת לשעבר בשל עבירה, התשע""א-2011",2016-05-09 15:40:21
16,2000015,171072,2,"חוק שמאי מקרקעין, התשס""א-2001",2016-05-09 15:40:21
17,2000016,148007,2,"חוק שמאי מקרקעין, התשכ""ב-1962",2016-05-09 15:40:21
18,2000017,149942,2,"חוק שמירת הניקיון, התשמ""ד-1984",2016-05-09 15:40:21
19,2000018,320264,2,"חוק שמירת הסביבה החופית, התשס""ד-2004",2016-05-09 15:40:21
20,2000019,148168,2,"חוק שעות עבודה ומנוחה, התשי""א-1951",2016-05-09 15:40:21
21,2000020,169968,2,"חוק שריון שלילת זכות השיבה, התשס""א-2001",2016-05-09 15:40:21
22,2000021,171078,2,"חוק תאגידי מים וביוב, התשס""א-2001",2016-05-09 15:40:21
23,2000022,148920,2,"חוק תגמול לחייל הנפגע בהצלת חיי הזולת, התשכ""ה-1965",2016-05-09 15:40:21
24,2000023,174461,2,"חוק תגמולים לאסירי ציון ולבני משפחותיהם, התשנ""ב-1992",2016-05-09 15:40:21
25,2000024,151440,2,"חוק תגמולים לחיילים ולבני משפחותיהם (חבלה שלא בעת מילוי תפקיד), התשמ""ח-1988",2016-05-09 15:40:21
26,2000025,173884,2,"חוק תגמולים לנשים השוהות במקלט לנשים מוכות (מענק הסתגלות) (הוראת שעה), התשס""ב-2002",2016-05-09 15:40:21
27,2000026,74972,2,"חוק תובענות ייצוגיות, התשס""ו-2006",2016-05-09 15:40:21
28,2000027,148912,2,"חוק תחנת הכוח תל-אביב, התשכ""ז-1967",2016-05-09 15:40:21
29,2000028,153284,2,"חוק תכנון משק החלב בישראל, התשנ""ב-1992",2016-05-09 15:40:21
30,2000029,305792,2,"חוק תכנון משק החלב, התשע""א-2011",2016-05-09 15:40:21
31,2000030,173299,2,"חוק תכנית החירום הכלכלית (תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנות הכספים 2002 ו-2003), התשס""ב-2002",2016-05-09 15:40:21
32,2000031,242258,2,"חוק תרומת ביציות, התש""ע-2010",2016-05-09 15:40:21
33,2000032,148300,2,"חוק תשלום פיצויים מאיטליה, התשט""ו-1955",2016-05-09 15:40:21
34,2000033,172978,2,"חוק תשלום קצבאות לחיילי מילואים ולבני משפחותיהם, התשס""ב-2002",2016-05-09 15:40:21
35,2000034,100094,2,"חוק תשלומים לפדויי שבי, התשס""ה-2005",2016-05-09 15:40:21
36,2000036,151547,2,"חוק חיילים משוחררים (מענק הסתגלות), התשמ""ח-1988",2016-05-09 15:40:21
37,2000041,147463,2,חוק-יסוד: הצבא,2016-05-09 15:40:21
38,2000042,174450,2,חוק-יסוד: השפיטה,2016-05-09 15:40:21
39,2000045,147465,2,חוק-יסוד: ירושלים בירת ישראל,2016-05-09 15:40:21
40,2000046,174541,2,חוק-יסוד: כבוד האדם וחירותו,2016-05-09 15:40:21
41,2000047,174515,2,חוק-יסוד: מבקר המדינה,2016-05-09 15:40:21
42,2000048,147462,2,חוק-יסוד: מקרקעי ישראל,2016-05-09 15:40:21
43,2000049,147446,2,חוק-יסוד: משק המדינה,2016-05-09 15:40:21
44,2000050,172564,2,חוק-יסוד: נשיא המדינה,2016-05-09 15:40:21
45,2000051,488358,2,חוק-יסוד: משאל עם,2016-05-09 15:40:21
46,2000052,146858,2,"חוק האגרות (אגודות שיתופיות לאשראי), התשט""ו-1955",2016-05-09 15:40:21
47,2000053,174552,2,"חוק איגרות מדינת ישראל (מלווה העצמאות), התשי""א-1951",2016-05-09 15:40:21
48,2000054,150539,2,"חוק אגרת לימוד במוסדות להשכלה גבוהה (הוראת שעה), התשמ""ה-1985",2016-05-09 15:40:21
49,2000055,98122,2,"חוק אוויר נקי, התשס""ח-2008",2016-05-09 15:40:21
50,2000056,150632,2,"חוק אזור סחר חופשי באילת (פטורים והנחות ממסים), התשמ""ה-1985",2016-05-09 15:40:21
51,2000057,150229,2,"חוק אזורי נמל חופשיים, התשכ""ט-1969",2016-05-09 15:40:21
52,2000058,158399,2,"חוק אזורים חופשיים לייצור בישראל, התשנ""ד-1994",2016-05-09 15:40:21
53,2000059,146872,2,"חוק איגוד ערים, התשט""ו-1955",2016-05-09 15:40:21
54,2000060,146860,2,"חוק איגרות חוב למוכ""ז של ממשלת ארץ-ישראל, התשי""א-1951",2016-05-09 15:40:21
