"JointCommitteeID","CommitteeID","ParticipantCommitteeID","LastUpdatedDate"
1,2212,2148,2020-12-09 19:16:26
2,2212,2154,2020-12-09 19:16:26
3,2175,2154,2020-08-12 15:07:09
4,38,22,2015-03-20 12:02:57
5,49,21,2015-03-20 12:02:57
6,49,23,2015-03-20 12:02:57
7,50,23,2015-03-20 12:02:57
8,50,25,2015-03-20 12:02:57
9,51,23,2015-03-20 12:02:57
10,51,27,2015-03-20 12:02:57
11,52,21,2015-03-20 12:02:57
12,52,23,2015-03-20 12:02:57
13,54,24,2015-03-20 12:02:57
14,54,27,2015-03-20 12:02:57
15,55,24,2015-03-20 12:02:57
16,55,26,2015-03-20 12:02:57
17,57,22,2015-03-20 12:02:57
18,57,25,2015-03-20 12:02:57
19,63,22,2015-03-20 12:02:57
20,63,25,2015-03-20 12:02:57
21,69,20,2015-03-20 12:02:57
22,69,21,2015-03-20 12:02:57
23,70,20,2015-03-20 12:02:57
24,70,21,2015-03-20 12:02:57
25,83,24,2015-03-20 12:02:57
26,83,27,2015-03-20 12:02:57
27,95,21,2015-03-20 12:02:57
28,95,27,2015-03-20 12:02:57
29,96,21,2015-03-20 12:02:57
30,96,28,2015-03-20 12:02:57
31,97,21,2015-03-20 12:02:57
32,97,27,2015-03-20 12:02:57
33,98,21,2015-03-20 12:02:57
34,98,28,2015-03-20 12:02:57
35,99,21,2015-03-20 12:02:57
36,99,23,2015-03-20 12:02:57
37,100,21,2015-03-20 12:02:57
38,100,24,2015-03-20 12:02:57
39,103,27,2015-03-20 12:02:57
40,103,31,2015-03-20 12:02:57
41,104,21,2015-03-20 12:02:57
42,104,25,2015-03-20 12:02:57
43,105,21,2015-03-20 12:02:57
44,105,25,2015-03-20 12:02:57
45,122,21,2015-03-20 12:02:57
46,122,27,2015-03-20 12:02:57
47,123,21,2015-03-20 12:02:57
48,123,24,2015-03-20 12:02:57
49,124,21,2015-03-20 12:02:57
50,124,23,2015-03-20 12:02:57
51,125,23,2015-03-20 12:02:57
52,125,27,2015-03-20 12:02:57
53,127,21,2015-03-20 12:02:57
54,127,27,2015-03-20 12:02:57
55,128,21,2015-03-20 12:02:57
56,128,28,2015-03-20 12:02:57
57,129,24,2015-03-20 12:02:57
58,129,27,2015-03-20 12:02:57
59,131,25,2015-03-20 12:02:57
60,131,28,2015-03-20 12:02:57
61,148,23,2015-03-20 12:02:57
62,148,24,2015-03-20 12:02:57
63,150,21,2015-03-20 12:02:57
64,150,24,2015-03-20 12:02:57
65,151,21,2015-03-20 12:02:57
66,151,23,2015-03-20 12:02:57
67,152,21,2015-03-20 12:02:57
68,152,27,2015-03-20 12:02:57
69,156,21,2015-03-20 12:02:57
70,156,24,2015-03-20 12:02:57
71,157,21,2015-03-20 12:02:57
72,157,23,2015-03-20 12:02:57
73,158,21,2015-03-20 12:02:57
74,158,147,2015-03-20 12:02:57
75,161,21,2015-03-20 12:02:57
76,161,25,2015-03-20 12:02:57
77,167,27,2015-03-20 12:02:57
78,167,28,2015-03-20 12:02:57
79,168,21,2015-03-20 12:02:57
80,168,27,2015-03-20 12:02:57
81,182,28,2015-03-20 12:02:57
82,182,31,2015-03-20 12:02:57
83,183,21,2015-03-20 12:02:57
84,183,27,2015-03-20 12:02:57
85,206,196,2015-03-20 12:02:57
86,206,200,2015-03-20 12:02:57
87,207,195,2015-03-20 12:02:57
88,207,196,2015-03-20 12:02:57
89,208,191,2015-03-20 12:02:57
90,208,196,2015-03-20 12:02:57
91,209,193,2015-03-20 12:02:57
92,209,194,2015-03-20 12:02:57
93,210,190,2015-03-20 12:02:57
94,210,196,2015-03-20 12:02:57
95,211,193,2015-03-20 12:02:57
96,211,196,2015-03-20 12:02:57
97,223,196,2015-03-20 12:02:57
98,223,203,2015-03-20 12:02:57
99,227,196,2015-03-20 12:02:57
100,227,200,2015-03-20 12:02:57
101,228,191,2015-03-20 12:02:57
102,228,195,2015-03-20 12:02:57
