"LawBindingID","LawID","IsraelLawID","ParentLawID","LawTypeID","LawParentTypeID","BindingType","BindingTypeDesc","PageNumber","AmendmentType","AmendmentTypeDesc","LastUpdatedDate"
41597,135087,2000002,159705,2,2,6013,מתקן,"26.0",6011,עקיף,2019-02-25 14:21:33
41676,148312,2000011,2000011,2,6003,6013,מתקן,"53.0",6011,עקיף,2019-02-28 13:57:48
41753,165164,2000023,2000023,2,6003,6013,מתקן,"99.0",6011,עקיף,2019-09-11 16:28:09
41767,341169,2000026,2000026,2,6003,6013,מתקן,"544.0",6011,עקיף,2019-03-12 09:26:03
41798,329355,2000034,145294,2,2,6013,מתקן,"421.0",6011,עקיף,2019-03-17 09:41:24
41836,159500,2000037,2000037,2,6003,6013,מתקן,"112.0",6010,ישיר,2020-06-30 13:39:26
41837,159500,2000037,159508,2,2,6013,מתקן,"112.0",6011,עקיף,2020-06-30 13:38:57
41876,159502,2000039,159512,2,2,6013,מתקן,"113.0",6011,עקיף,2019-11-24 13:56:20
41884,170266,2000039,2000039,2,6003,6014,מבטל,"167.0",6011,עקיף,2019-11-24 13:44:22
42048,341169,2000084,2000084,2,6003,6013,מתקן,"544.0",6011,עקיף,2019-03-12 09:25:46
42337,173878,2000133,2000133,2,6003,6013,מתקן,"508.0",6011,עקיף,2019-03-11 12:59:42
42512,20488,2000141,2000141,2,6003,6013,מתקן,"738",6010,ישיר,2021-02-03 12:31:34
42722,29406,2000169,2000169,2,6003,6013,מתקן,"261.0",6011,עקיף,2019-02-25 13:01:02
42815,169961,2000188,2000188,2,6003,6013,מתקן,"101.0",6011,עקיף,2019-03-13 09:28:42
42909,169961,2000191,169958,2,2,6013,מתקן,"100.0",6011,עקיף,2019-03-13 09:28:28
42952,165164,2000193,2000193,2,6003,6013,מתקן,"99.0",6011,עקיף,2019-09-11 16:27:36
43034,146961,2000197,146964,2,2,6013,מתקן,"221.0",6011,עקיף,2019-02-26 14:06:40
43057,146946,2000197,416082,2,2,6013,מתקן,"142.0",6011,עקיף,2019-02-26 10:01:50
43176,165164,2000198,2000198,2,6003,6013,מתקן,"96.0",6010,ישיר,2019-09-11 16:26:18
43182,163628,2000198,159660,2,2,6013,מתקן,"234.0",6011,עקיף,2019-03-12 09:07:34
43192,165066,2000198,165164,2,2,6013,מתקן,"78.0",6011,עקיף,2019-02-26 10:52:25
43229,89821,2000198,173883,2,2,6013,מתקן,"576.0",6011,עקיף,2019-02-25 10:09:50
43309,421936,2000198,159673,2,2,6013,מתקן,"283.0",6011,עקיף,2019-03-17 09:43:08
43457,147238,2000223,2000223,2,6003,6013,מתקן,"133.0",6011,עקיף,2019-02-26 10:25:43
43462,147238,2000224,2000224,2,6003,6013,מתקן,"133.0",6011,עקיף,2019-02-26 10:25:33
43709,159514,2000249,163266,2,2,6013,מתקן,"88.0",6011,עקיף,2019-03-12 09:06:03
