kns_name,description,kns_name_hebrew,knesset_seat
Moshe Abutbul,"A charismatic and community-driven figure, Moshe Abutbul rose to national prominence after serving as mayor of Beit Shemesh. Known for his warm, approachable style and strong commitment to traditional Jewish values, Abutbul represents the ultra-Orthodox Shas movement. His political career reflects his passion for strengthening religious communities, advocating for social welfare, and preserving the identity of Israel’s growing Haredi population. His gentle demeanor combined with firm religious conviction have made him a trusted voice among his supporters.",îùä àáåèáåì,"23,24,25"
Yuli Edelstein,"A respected elder statesman within the Likud, Yuli Edelstein is known for his calm demeanor, resilience, and statesmanship. Born in the Soviet Union and a former refusenik, his life story embodies the triumph of Jewish perseverance. After being imprisoned for Zionist activities, he immigrated to Israel and rose through the political ranks. As a former Knesset Speaker and Minister of Health, Edelstein is praised for his diplomatic style, steady leadership, and commitment to Zionist values, making him a unifying voice even during turbulent times.",éåìé àãìùèééï,"14,15,16,17,19,20,21,22,23,24,25"
Amir Ohana,"A trailblazer in Israeli politics, Amir Ohana broke barriers as the first openly gay Likud minister. Fierce, articulate, and unwaveringly loyal to right-wing ideology, Ohana served as Justice Minister, Public Security Minister, and Knesset Speaker. With a background in law and security services, he merges personal liberty advocacy with nationalistic values. Ohana's unapologetic defense of Israeli sovereignty, security policies, and civil rights has positioned him as one of Likud’s most dynamic and headline-grabbing figures.",àîéø àåçğä,"20,21,22,23,24,25"
Yinon Azulai,"A devoted representative of the Shas party, Yinon Azulai carries the banner of Sephardic traditionalism and social justice. Son of the late David Azulai, Yinon follows a family legacy deeply rooted in public service. Known for his soft-spoken yet persistent advocacy for disadvantaged populations, he focuses on strengthening religious institutions, affordable housing, and social welfare for Israel’s periphery communities. His political journey reflects a steadfast commitment to uplifting Israel’s weaker sectors.",éğåï àæåìàé,"20,21,22,23,24,25"
Gadi Eisenkot,"A revered military leader turned politician, Gadi Eisenkot transitioned into public service after a distinguished career as IDF Chief of Staff. Known for his strategic brilliance, calm judgment, and defense-first philosophy, Eisenkot epitomizes military professionalism. Joining the National Unity party, his entry into politics signaled a commitment to national responsibility beyond the battlefield. Eisenkot brings gravitas, security expertise, and a sense of stability to Israeli public discourse.",âãé àéæğ÷åè,25
Yisrael Eichler,"An influential and colorful figure in Haredi politics, Yisrael Eichler serves as a veteran member of United Torah Judaism. Known for his fiery speeches and staunch defense of the ultra-Orthodox way of life, Eichler tirelessly champions religious rights, community autonomy, and social funding for large families. His career embodies the deep tensions — and deep pride — of Haredi identity within Israel’s complex societal mosaic.",éùøàì àééëìø,"16,17,19,20,21,22,23,24,25"
Dan Illouz,"A rising voice in the Likud party, Dan Illouz blends youthful energy with staunch Zionist commitment. Born in Canada, he made Aliyah and swiftly carved a niche in public service, advocating for Jewish identity, governance reform, and strong national values. With polished communication skills and a passion for public advocacy, Illouz represents a newer generation of Likudniks seeking to combine traditional ideology with modern outreach.",ãï àéìåæ,25
Walid Al Huashla,"Representing the Ra’am (United Arab List), Walid Al-Huashla brings a determined voice for Israel’s Arab communities. Focused on bridging economic and social gaps, he advocates for infrastructure, healthcare, and education improvements for Arab citizens. His career reflects a broader effort to integrate minority concerns into Israel’s national conversation, while maintaining cultural identity and communal solidarity.",åàìéã àìäåàùìä,25
Karine Elharrar,"A tenacious and inspiring figure in Israeli politics, Karine Elharrar has consistently championed the rights of people with disabilities and social equality. Overcoming her own physical challenges, Elharrar became a symbol of perseverance, serving as Minister of National Infrastructures, Energy and Water. A prominent member of Yesh Atid, she combines legal expertise, personal experience, and a deep commitment to liberal democracy and inclusion.",÷àøéï àìäøø,"19,20,21,22,23,24,25"
Zeev Elkin,"An experienced statesman with deep knowledge of governance and diplomacy, Zeev Elkin is known for his intellectual rigor and political pragmatism. Originally from Ukraine, Elkin's immigration story shaped his passionate Zionism and advocacy for aliyah. Having served under multiple governments in senior roles such as Minister of Jerusalem Affairs, Elkin combines strategic vision with practical execution, making him a key player in coalition negotiations and policy crafting.",æàá àì÷éï,"18,19,20,21,22,23,24,25"
